district,min_noise,max_noise,summer_noise_complaints,min_arrests,max_arrests,density,ldensity,p21own,p21rent,mhhi21,mean_noise,mean_arrests,living_alone_ratio,same_sex_ratio,black_nys_ratio,black_fb_ratio,white_transplant_ratio,femHHH_ratio,drive_ratio,train_ratio,walk_ratio,bike_ratio,wfh_ratio,bus_ratio,hh21olongp,h21p,nha21p,nhb21p,nhw21p,mex21p,prican21p,domin21p,colomb21p,kor21p,chin21p,venez21p,hh21op,hh21rc,range_of_arrests,range_of_noise,cvap21bapp,rv21irp,rv21italp,pg20jrbp,pg20djtp,dpp20bs,adams213p,garcia213p,winda21p,perc_retail,perc_finance,perc_healthcare
22,1.43483671445628,17.4228253616997,28.3409231744004,0.779939491314693,2.42743127374756,20763.8133775802,4.93530191921879,412.925277368754,1062.0170601815,39873.5453880016,14.7458669933529,2.59212005495486,6.57459266836409,0.478488082227414,2.41988381232411,1.0531707502108,11.6428178542628,8.9309157133064,17.4970361022431,0.390623624121239,5.68407173701408,1.32400880446337,13.1195443615489,4.35886058817241,52.1552965898197,25.9252761776375,14.9586790116251,3.60945999232867,51.1913200760969,5.24235236047765,4.11745573091196,2.6691031242861,3.42492165697702,1.15592942385604,3.83896791740639,0.381694983527636,27.6195931017331,80.6429853667022,3.3858810199573,35.5611566532208,49.7464665596406,2.85794220476395,2.38050463167018,74.3489499788291,23.3165934643031,127.397991692175,23.2014269358624,56.1087352312254,0.337785221285206,8.62555718217294,8.21873610268302,13.6132067994578
23,0.565992635082245,7.44694742395266,9.8563223981315,0.635650545247309,1.45657787357993,8641.30158573639,4.37445726416026,1003.66470373394,532.531466659453,38946.1229775655,6.20684859680978,1.74903018542191,2.77401871413778,0.122849403838108,6.80849723751293,4.78617151678256,1.19230474120699,11.9344483151431,51.4984309276036,2.04289235993817,2.0201315962805,0.12984561210745,7.79671508563738,11.4941449535056,40.7015736533474,15.8434448933054,40.625796925585,11.7840335584175,23.1429849745845,0.644884736058376,3.46934141445055,2.33938585283348,2.36659783913387,5.40470816023658,14.8422804966611,0.109162715410024,64.4085663550849,45.2598746535526,1.69993077860994,17.4844164373852,40.5556844294815,1.93768157723397,1.73463684722224,66.7453133035732,28.7591997011193,47.2608449801417,38.9472427339662,36.0855973685731,5.22481883476257,11.6476553813049,5.53989791499317,24.5857857307535
24,1.11640666929991,11.8424499003174,17.6641495835422,0.62586896857101,2.57686228261159,14555.5606247356,4.31767323936211,764.170630703158,899.72047734775,32767.5653427576,14.1568199648934,3.68911251264775,3.29006812383836,0.17019810639193,6.60858594592979,4.66887197869678,2.09219387631886,14.4015706806343,33.1149009387842,1.175859054529,6.94233848009352,0.368999689631241,8.24894424478424,13.3828049450894,40.923120617795,23.0357706651774,32.1285563511222,12.7452185785706,26.351293654289,1.85702903060519,4.01011045414009,3.80813353113554,3.52346378893742,0.687304757618797,11.8397400962814,0.0405087688015157,44.9555384007367,146.29960147883,5.91428004981674,29.523001873734,38.1037212587436,1.1626752783522,1.25655007535401,67.5911550085696,30.3013786815543,50.8471722867365,46.6857553720231,33.3888051649081,3.25938073171174,10.9666269195164,5.67136380260294,24.7938870145667
25,1.47010188768805,14.8964609028671,24.5005565661984,0.490152762654933,1.74002852129025,30593.3722355613,4.18624113744009,558.659970931351,1201.79270490805,23782.8664355985,16.5395232366478,2.47782670154452,4.27049389384194,0.195029301177752,1.29321805119886,0.79835361522378,2.31128305159559,14.4725376349012,17.1405568996003,0.690367929263237,7.42294806246464,0.999443523281614,8.34127063209955,5.14466904351759,36.5994988577762,41.094548462387,41.2012532864861,1.8283794355739,13.1731961592618,8.30257393914648,2.26183333222508,3.08744295266155,9.06566589013874,1.51211731059871,14.6491363177803,0.685681533028119,34.7872397271802,274.365417154046,3.61339196652838,35.2195449024973,36.2058753774983,1.15817083276457,1.7075164321638,72.6667504116435,25.202894792214,114.986582996367,26.9404324914168,40.1790936539215,0.323269495069876,10.2435655188374,6.40523277067805,18.328225619554
26,1.99953847494389,19.0241901430183,30.6317622791972,0.591738679838291,2.20354170897865,25871.6251634711,5.65036152078999,376.862763744615,1297.40663644044,42833.7050728368,19.1421482298976,2.01492462030567,6.97557752865317,0.24671400024746,5.9771204695606,1.16515283273453,7.67619242678584,10.9172303871699,13.35916274821,0.93256926838704,7.01883231470725,1.6538050247813,9.91965643309506,4.25107339452417,32.3680819033467,31.5441273897861,28.7457229340837,7.38194645952609,28.7503464883484,7.23112306962676,4.47067333252952,3.58052204245362,3.44699430702032,2.53226663347189,7.21986866856415,0.439573952713119,22.0456209916,140.021531984005,3.00542891341018,39.4159987995932,45.1474346709795,3.10799743163851,1.67560763066681,76.8796103626226,19.8579339107563,108.340089291314,29.3438620031791,49.9143579836089,0.435999764782211,9.14428893680473,8.32657867953313,15.2720663247057
27,0.995000321132282,16.5955572390814,28.466498487158,0.986871948958925,4.03251976976287,17019.925471324,6.78742831958375,1229.63284179774,590.923169874609,55184.5383440811,11.4580982569703,4.34798765450428,2.38976682800041,0.105965739795679,35.126054359077,25.4730358768541,0.258305770543148,26.9033603678108,43.778113102521,1.9790920028063,2.82866906050743,0.263596696838919,5.31887776605169,16.6905298598006,44.788277721464,12.6686950359246,11.0537471084039,65.8077295492059,2.36576792516841,0.70333675006474,2.36271174894537,2.7661561288639,0.619685279489259,0.0376950402596854,0.854087570447646,0.0352022913475008,63.72218432596,62.0797199801832,6.14397573182209,28.8758864528781,24.8133300315999,2.07228542180333,0.561285686797972,91.7596272970608,6.81774682887229,33.2487383040306,79.2437545797855,10.5371786330374,26.1861750128869,11.2919483501811,3.59614123154242,31.6354949391613
28,1.04766943437157,28.0400242473642,51.875794352771,0.989011883849971,4.43665913237771,23715.7107694505,7.09187841960083,1219.35664006258,801.671633646639,53375.5324297794,16.2579809006209,4.2515854107656,2.1568351262238,0.139605850419561,25.4779711604825,12.9685832589908,0.394821503652275,23.0468949146127,40.8054662783729,0.975945983618802,3.34599133782375,0.138395843990857,4.08637250096424,15.5861094064764,44.2382479006775,18.9426266483974,21.473973704794,40.9444384704077,3.61335892495218,1.3709505990776,4.21011022214489,5.14028220847201,1.43443214826644,0.0357727796259701,0.988763295223392,0.0922399386449178,55.2639199725387,39.1787541627332,7.24054118128861,41.8142608486126,21.5118204096394,1.62132193005537,1.12310066718846,84.9770840800149,13.5651935992887,31.3613867178867,65.9110936185714,16.645565065025,12.2806000229643,11.2508257210197,3.90061287061371,27.9383410527996
29,0.839856410684,11.2290140368123,12.9205877392553,0.58402555071514,2.0924227734621,19286.5881077535,4.36823975229701,705.720181448529,744.812158335406,37057.9198203261,10.7794038542268,2.5466551021728,5.42359700297053,0.250634592491146,2.62674901325141,1.3716365171028,3.87331643601426,11.2528611506821,26.3126515473867,1.47904200441243,5.53996569006723,0.348305230191694,12.6650067840007,6.07725917300607,36.6628822492131,19.7514520178193,28.0200069431401,3.72273144498926,43.2310470532084,1.37497565942242,3.98039474703047,2.19325147798105,4.04368813562408,1.38290256734843,11.9162240997209,0.35234972413421,46.6444107665482,109.016443817233,3.67573743074713,26.7681186567735,53.8139230984679,1.9349572034041,1.52813265090116,64.3088544971251,33.7035270891675,57.1924724295015,33.3955703890769,49.0254031779739,0.985729607182387,8.9058315759092,8.40476658686633,21.8892313927776
30,1.0523186753209,16.7979042596715,24.2722948655164,0.736932092818582,1.93893607790755,22839.700953079,6.37650031693511,862.090818537231,910.536573748566,50657.483089785,11.7791790674231,1.73803355213298,3.22818335784791,0.451855648391408,1.3087526916786,0.790880387987937,3.03227902988984,14.0866201535725,33.2968653846889,0.431901555833317,5.08476176205152,0.779634199052529,6.10789144010755,9.8587544846536,46.2229204975201,38.3767538797787,13.2997160906673,1.32973148760752,44.7777963281684,4.7676272485934,8.99129380129447,6.38468763574667,3.38319458009763,1.2948783845463,7.06661308693002,0.269630722917184,49.3156164725969,46.5002265883603,2.1832459381181,31.7635695384788,30.9495434760983,3.23274218698261,3.68621321110638,57.2675034331799,40.2772860676498,53.2403668373761,31.956675461718,46.5572600117121,0.554646250684384,10.4587574960682,6.21928130384502,17.7794287823733
31,0.948651072231533,14.1318042797715,26.7633806145858,0.754102853264784,3.41474515884107,10923.8550790349,4.57513312423565,1097.71920872693,849.60705885954,38524.1528323876,12.4262067494786,4.28996138398402,3.05355695617633,0.17840353030729,37.8822575576705,23.9957561125399,1.20881799432759,26.0895169463002,48.7386085360605,2.56077715431483,3.75055569910937,0.267407690456914,6.03228504654227,12.7478365984739,38.0036525719802,15.9715147670958,3.69088752004557,65.1776345457667,11.4102261256571,0.385225204844999,4.59322032524704,3.91002709920134,0.621804953869398,0.106739516484219,0.479533740511054,0.119073789661144,53.4816237624273,75.2583629269637,6.87446019522773,32.5142590176727,27.1869387308286,2.22298420191728,0.740394647042989,85.8399721705879,12.6159864354314,44.0614045630294,81.5069151363438,10.4609621198459,22.3360508938094,11.0611053791658,3.36983120638436,32.400060680932
